65746,"04-01-13, Wolvega",,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Bailly le Blanc,J.F. van Dooyeweerd,2100,1,,,"1.21,0",,,,
65209,"04-01-13, Wolvega",16:15,KW,Kwalificatieproef Trotteur Francais,,,,Drafsport - 2100 - Bandenstart,O,Vol d'Essai,R. Bakker,2100,1,,,,,,,
65209,"04-01-13, Wolvega",16:15,KW,Kwalificatieproef Trotteur Francais,,,,Drafsport - 2100 - Bandenstart,O,Ultramencourt,H. Schwarma,2100,2,,,,,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,O,Boston Starlake,R.L. Pools,2100,3,,,,,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Vilas Boko,M. Hauber,2100,6,,,"1.19,0",,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Bizzy Tolli T,A. Bakker,2100,7,,,"1.19,0",,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Chacha Blue,R. de Beer,2100,2,,,"1.22,3",,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Calvin W,A. de Wrede,2100,1,,,"1.22,7",,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Captain Rob,A. Posthumus,2100,4,,,"1.18,1",,,,
65209,"04-01-13, Wolvega",16:25,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Miss Love,P.J.P. Hagoort,2100,5,,,"1.18,1",,,,
65209,"04-01-13, Wolvega",17:20,1,Prix letrot.com (Faber Elite Challenge),Draverij van meet. Winsom tot € 37.500. (g.l.s.),,,Drafsport - 2100 - Autostart,1,Avalon Transs R,N. D' Haenens,2100,,11,,"1.15,9",,,"€ 3.000,00","15,5"
