event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
77333,"01-01-16, Wolvega",16:00,KW,Kwalificatieproef Trotteur Francais,,,,Drafsport - 2100 - Bandenstart,V,Casimaka,T.H. Kooyman,2100,1,,,"1.19,0",,,,
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,1,Toscanini Font,R. Bakker,2100,,8,,"1.16,4",,,"€ 3.000,00","1,3"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,2,Blossom Energy,D. Brouwer,2100,,2,,"1.16,6",,,"€ 1.250,00","45,7"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,3,Deposito,L. de Vries,2100,,9,,"1.16,7",,,"€ 750,00","25,1"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,4,Amalia Beemd,F. Verkaik,2100,,4,,"1.16,9",,,"€ 400,00","65,2"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,5,Dapp Princehof,N. Jongejans,2100,,7,,"1.17,1",,,"€ 250,00","78,9"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,6,Bishamon,M.E. Korsman,2100,,3,,"1.17,3",,,"€ 200,00","16,8"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,7,Ever for ever WS,T. Bos,2100,,1,,"1.17,4",,,"€ 150,00","47,5"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,8,Canizares Boko,D. den Dubbelden,2100,,5,,"1.31,3",,,"€ 0,00","33,6"
77333,"01-01-16, Wolvega",17:10,1,PRIX MENNO HORNSTRA (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 13.500.,,,Drafsport - 2100 - Autostart,A,Gails Yankee,J.H. Mieras,2100,,10,,,,,"€ 0,00","55,4"
