event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
94490,"03-01-20, Wolvega",16:40,KW,Kwalificatieproef Trotteur Francais,,,,Drafsport - 2100 - Bandenstart,O,Genial Smiling,R. Bakker,2100,2,,,,,,,
94490,"03-01-20, Wolvega",16:40,KW,Kwalificatieproef Trotteur Francais,,,,Drafsport - 2100 - Bandenstart,V,Hungaro de Lou,H. Ebbinge,2100,1,,,"1.17,5",,,,
94490,"03-01-20, Wolvega",16:50,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Vice Versa Diamant,R. Bakker,2100,3,,,"1.18,0",,,,
94490,"03-01-20, Wolvega",16:50,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Kay Attack,R.L. Pools,2100,1,,,"1.22,4",,,,
94490,"03-01-20, Wolvega",16:50,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Lilas Vrijthout,F.W. van der Blonk,2100,4,,,"1.19,5",,,,
94490,"03-01-20, Wolvega",16:50,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Goldie Maker,A. Bakker,2100,2,,,"1.22,2",,,,
94490,"03-01-20, Wolvega",16:50,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Hardwell,J.F. van Dooyeweerd,2100,5,,,"1.16,7",,,,
94490,"03-01-20, Wolvega",16:50,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Charm Evening,J. Offeringa,2100,6,,,"1.19,2",,,,
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,1,Dillinger Gentil,M. Brouwer,2600,,6,,"1.16,3",,,"€ 2.750,00","2,7"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,2,Diamond ER,T.H. Kooyman,2600,,3,,"1.16,5",,,"€ 1.250,00","11,2"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,3,Belle Bonanza,R.T. de Vlieger,2600,,10,,"1.16,5",,,"€ 700,00",13
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,4,Emeraude Jiji,D.J. Hof,2600,,12,,"1.16,5",,,"€ 275,00","4,7"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,4,Dean les Jarriais,C.F. Kamminga,2600,,8,,"1.16,5",,,"€ 275,00",54
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,6,Encore Sun TF,J. van Rijn,2600,,2,,"1.16,6",,,"€ 150,00","14,3"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,7,Defi Magik,G. de Jong,2600,,1,,"1.16,8",,,"€ 100,00","18,4"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,8,Dream du Rabutin,O. Bizoux,2600,,9,,"1.16,9",,,"€ 0,00","19,4"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,9,Djoko's Way,R. Bakker,2600,,5,,"1.17,1",,,"€ 0,00",53
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,10,Bao des Rioults,A. Bakker,2600,,11,,"1.17,2",,,"€ 0,00","99,9"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,11,Disco Jet,J. van der Wal,2600,,4,,"1.17,6",,,"€ 0,00","8,2"
94490,"03-01-20, Wolvega",17:20,1,PRIX EXPO ÉTALONS (TROTTEUR FRANCAIS SILVER CHALLENGE),Draverij van meet voor Franse paarden. Winsom tot € 50.000. (g.l.s.),,,Drafsport - 2600 - Autostart,12,Evolutif d'Am,R.L. Pools,2600,,7,,"1.18,8",,,"€ 0,00","11,2"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,1,Prosperous,J. van Rijn,2600,,5,,"1.13,7",,,"€ 4.500,00","1,5"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,2,Versus As,R. Bakker,2600,,6,,"1.13,9",,,"€ 2.150,00","8,1"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,3,Flavius,D.P. Tesselaar,2600,,2,,"1.14,1",,,"€ 1.100,00","29,3"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,4,Hambo Transs R,A. Bakker,2600,,7,,"1.14,3",,,"€ 600,00","10,3"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,5,SJs Junior C,S. Schoonhoven,2600,,4,,"1.14,3",,,"€ 300,00","59,7"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,6,Tell Me No Lies,C.F. Kamminga,2600,,10,,"1.14,5",,,"€ 200,00","31,5"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,7,Banker Transs R,T.H. Kooyman,2600,,3,,"1.14,8",,,"€ 150,00","50,7"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,8,As des Jacquets,T. Schwarma,2600,,8,,"1.14,9",,,"€ 0,00","6,6"
94490,"03-01-20, Wolvega",17:55,2,MIDWINTERCRITERIUM (ELITE CHALLENGE),Draverij van meet. (g.l.s.),,,Drafsport - 2600 - Autostart,A,Arius du Douet,R.L. Pools,2600,,9,,,,,"€ 0,00","22,3"
94490,"03-01-20, Wolvega",18:30,3,PRIX DE MONS (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 26.000.,,,Drafsport - 2100 - Autostart,1,Zuleika Font,H. Ebbinge,2100,,2,,"1.15,5",,,"€ 3.000,00","1,6"
94490,"03-01-20, Wolvega",18:30,3,PRIX DE MONS (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 26.000.,,,Drafsport - 2100 - Autostart,2,Ice Dragon,J. van Rijn,2100,,4,,"1.15,6",,,"€ 1.250,00","8,9"
94490,"03-01-20, Wolvega",18:30,3,PRIX DE MONS (BOKO CHAMPIONS CHALLENGE),Draverij van meet. Winsom tot € 26.000.,,,Drafsport - 2100 - Autostart,3,Hasta la Vista,C.D. Aalbers,2100,,3,,"1.15,7",,,"€ 750,00","9,9"
