event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
52816,"03-01-09, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Pauline aus Elten,A. de Wrede,2100,3,,,"1.19,5",,,,
52816,"03-01-09, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Zambezi,R. Bakker,2100,1,,,"1.19,6",,,,
52816,"03-01-09, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Ysbrand Idzarda,J.W.M. Engwerda,2100,2,,,"1.19,5",,,,
52816,"03-01-09, Wolvega",16:00,1,Gelukkig 2009-prijs (trio en kwartet),Draverij van meet. Winsom tot € 500.,,,Drafsport - 2100 - Autostart,1,Whisper Jubilee,C.F. Kamminga,2100,,4,,"1.17,6",,,"€ 400,00",2
52816,"03-01-09, Wolvega",16:00,1,Gelukkig 2009-prijs (trio en kwartet),Draverij van meet. Winsom tot € 500.,,,Drafsport - 2100 - Autostart,2,Eau Rouge,K.L.C. Roeges,2100,,6,,"1.17,6",,,"€ 200,00","2,5"
52816,"03-01-09, Wolvega",16:00,1,Gelukkig 2009-prijs (trio en kwartet),Draverij van meet. Winsom tot € 500.,,,Drafsport - 2100 - Autostart,3,Youcancallme Al,H. Hamming,2100,,7,,"1.18,1",,,"€ 95,00","5,2"
52816,"03-01-09, Wolvega",16:00,1,Gelukkig 2009-prijs (trio en kwartet),Draverij van meet. Winsom tot € 500.,,,Drafsport - 2100 - Autostart,A,Rubis de Loro,G. de Jong,2100,,5,,,,,"€ 0,00","15,8"
52816,"03-01-09, Wolvega",16:00,1,Gelukkig 2009-prijs (trio en kwartet),Draverij van meet. Winsom tot € 500.,,,Drafsport - 2100 - Autostart,D,Wieteke,R. Wester,2100,,2,,"1.24,3",,,"€ 0,00","7,1"
52816,"03-01-09, Wolvega",16:25,2,Champion du Monde-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 1609 - Autostart,1,Yuppy de Rozoy,A. Posthumus,1609,,2,,"1.17,4",,,"€ 400,00","1,5"
52816,"03-01-09, Wolvega",16:25,2,Champion du Monde-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 1609 - Autostart,2,Yulika Worthy,C.F. Kamminga,1609,,5,,"1.17,6",,,"€ 200,00",7
52816,"03-01-09, Wolvega",16:25,2,Champion du Monde-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 1609 - Autostart,3,Wilt Princehof,P.L.E. Wortel,1609,,6,,"1.18,0",,,"€ 95,00","9,5"
52816,"03-01-09, Wolvega",16:25,2,Champion du Monde-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 1609 - Autostart,4,Yeper Elegance,P.J.P. Hagoort,1609,,1,,"1.18,1",,,"€ 65,00","17,6"
52816,"03-01-09, Wolvega",16:25,2,Champion du Monde-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 1609 - Autostart,5,Yin Cup,R. Bakker,1609,,4,,"1.19,7",,,"€ 40,00","7,2"
52816,"03-01-09, Wolvega",16:25,2,Champion du Monde-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 1609 - Autostart,I,Yonker Fanatic,B.J. Crebas,1609,,3,,,,,"€ 0,00","5,2"
52816,"03-01-09, Wolvega",16:50,3,Grand Circuit-prijs (trio en kwartet),Draverij van meet. Winsom tot € 12.000. Voor amatrices en amateurrijders.,,,Drafsport - 2100 - Autostart,1,Uriah Heep,F.L. Handelaar,2100,,3,,"1.18,2",,,"€ 400,00","13,5"
52816,"03-01-09, Wolvega",16:50,3,Grand Circuit-prijs (trio en kwartet),Draverij van meet. Winsom tot € 12.000. Voor amatrices en amateurrijders.,,,Drafsport - 2100 - Autostart,2,Valentino Star N,J.G. Bolt,2100,,5,,"1.18,2",,,"€ 200,00","1,6"
52816,"03-01-09, Wolvega",16:50,3,Grand Circuit-prijs (trio en kwartet),Draverij van meet. Winsom tot € 12.000. Voor amatrices en amateurrijders.,,,Drafsport - 2100 - Autostart,3,Utopian Dragon,J. Kooistra,2100,,2,,"1.18,7",,,"€ 95,00","8,7"
52816,"03-01-09, Wolvega",16:50,3,Grand Circuit-prijs (trio en kwartet),Draverij van meet. Winsom tot € 12.000. Voor amatrices en amateurrijders.,,,Drafsport - 2100 - Autostart,4,Trixie Dragon,A.H. de Beij,2100,,6,,"1.19,0",,,"€ 65,00","5,2"
52816,"03-01-09, Wolvega",16:50,3,Grand Circuit-prijs (trio en kwartet),Draverij van meet. Winsom tot € 12.000. Voor amatrices en amateurrijders.,,,Drafsport - 2100 - Autostart,5,Sanda Pluto W,A.J. de Wit,2100,,4,,"1.19,1",,,"€ 40,00","15,9"
52816,"03-01-09, Wolvega",16:50,3,Grand Circuit-prijs (trio en kwartet),Draverij van meet. Winsom tot € 12.000. Voor amatrices en amateurrijders.,,,Drafsport - 2100 - Autostart,6,Rytane Promise,A. Beekman,2100,,1,,"1.19,3",,,"€ 0,00","4,9"
52816,"03-01-09, Wolvega",17:15,4,Championata European-prijs (trio en kwartet),Draverij van meet. Winsom tot € 100.,,,Drafsport - 2100 - Autostart,1,Ymoko Buitenzorg,P.J.P. Hagoort,2100,,8,,"1.19,6",,,"€ 400,00","8,4"
52816,"03-01-09, Wolvega",17:15,4,Championata European-prijs (trio en kwartet),Draverij van meet. Winsom tot € 100.,,,Drafsport - 2100 - Autostart,2,Wonder Migliore,M. de Jong,2100,,6,,"1.19,8",,,"€ 200,00","3,8"
52816,"03-01-09, Wolvega",17:15,4,Championata European-prijs (trio en kwartet),Draverij van meet. Winsom tot € 100.,,,Drafsport - 2100 - Autostart,3,Yvonda Beuckenswyk,M.L. v.d. Togt,2100,,7,,"1.19,8",,,"€ 95,00","5,1"
52816,"03-01-09, Wolvega",17:15,4,Championata European-prijs (trio en kwartet),Draverij van meet. Winsom tot € 100.,,,Drafsport - 2100 - Autostart,4,Zion Energy,R. Bakker,2100,,3,,"1.19,9",,,"€ 65,00",2
52816,"03-01-09, Wolvega",17:15,4,Championata European-prijs (trio en kwartet),Draverij van meet. Winsom tot € 100.,,,Drafsport - 2100 - Autostart,5,Yanice Soprano,S. Wagenaar,2100,,4,,"1.20,3",,,"€ 40,00","7,3"
52816,"03-01-09, Wolvega",17:15,4,Championata European-prijs (trio en kwartet),Draverij van meet. Winsom tot € 100.,,,Drafsport - 2100 - Autostart,6,Woudina Aleida,C.F. Kamminga,2100,,1,,"1.22,1",,,"€ 0,00","16,1"
52816,"03-01-09, Wolvega",17:40,5,Wintersport-prijs (trio en kwartet),Draverij van meet. Winsom tot € 9.000.,,,Drafsport - 2100 - Autostart,1,Treasure Trail,J.C. Bot,2100,,2,,"1.18,9",,,"€ 400,00","2,7"
52816,"03-01-09, Wolvega",17:40,5,Wintersport-prijs (trio en kwartet),Draverij van meet. Winsom tot € 9.000.,,,Drafsport - 2100 - Autostart,2,Utah Forest,A. Bakker,2100,,6,,"1.18,9",,,"€ 200,00","1,6"
52816,"03-01-09, Wolvega",17:40,5,Wintersport-prijs (trio en kwartet),Draverij van meet. Winsom tot € 9.000.,,,Drafsport - 2100 - Autostart,3,Walter Heldia,G. de Jong,2100,,5,,"1.20,3",,,"€ 95,00","13,3"
52816,"03-01-09, Wolvega",17:40,5,Wintersport-prijs (trio en kwartet),Draverij van meet. Winsom tot € 9.000.,,,Drafsport - 2100 - Autostart,A,Weeschtaaj,R. Bakker,2100,,3,,,,,"€ 0,00","4,8"
52816,"03-01-09, Wolvega",18:05,6,Oostenrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,1,Warrie Renka,A. Bakker,2100,,6,,"1.18,9",,,"€ 400,00",2
52816,"03-01-09, Wolvega",18:05,6,Oostenrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,2,Vampire L,N. Jongejans,2100,,5,,"1.19,0",,,"€ 200,00","4,3"
52816,"03-01-09, Wolvega",18:05,6,Oostenrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,3,Waarempel Well,J. Westenbrink,2100,,3,,"1.19,6",,,"€ 95,00","3,2"
52816,"03-01-09, Wolvega",18:05,6,Oostenrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,4,Vlada Victory,K.L.C. Roeges,2100,,2,,"1.19,8",,,"€ 65,00","7,4"
52816,"03-01-09, Wolvega",18:05,6,Oostenrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,5,Ben Nevis,S.A.W. Van den Brande,2100,,1,,"1.20,0",,,"€ 40,00","9,8"
52816,"03-01-09, Wolvega",18:30,7,Frankrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.800.,,,Drafsport - 2100 - Autostart,1,Yahama,N. Jongejans,2100,,4,,"1.20,0",,,"€ 400,00","9,6"
52816,"03-01-09, Wolvega",18:30,7,Frankrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.800.,,,Drafsport - 2100 - Autostart,2,Wala Paasloo,F.F. van den Berg,2100,,6,,"1.20,1",,,"€ 200,00","5,7"
52816,"03-01-09, Wolvega",18:30,7,Frankrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.800.,,,Drafsport - 2100 - Autostart,A,Yos d'Almere,R. Bakker,2100,,3,,,,,"€ 0,00","4,4"
52816,"03-01-09, Wolvega",18:30,7,Frankrijk-prijs (trio en kwartet),Draverij van meet. Winsom tot € 1.800.,,,Drafsport - 2100 - Autostart,U,Vien H,M.J.W. van Dooyeweerd,2100,,1,,,,,"€ 0,00","1,3"
52816,"03-01-09, Wolvega",18:55,8,Duitsland-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,1,Wonderful,S.A.W. Van den Brande,2100,,1,,"1.17,7",,,"€ 400,00","2,1"
52816,"03-01-09, Wolvega",18:55,8,Duitsland-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,2,Yankee of Rapida,G. de Jong,2100,,5,,"1.17,7",,,"€ 200,00","9,4"
52816,"03-01-09, Wolvega",18:55,8,Duitsland-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,3,Scot Noordlandia,N. Jongejans,2100,,2,,"1.17,8",,,"€ 95,00","8,8"
52816,"03-01-09, Wolvega",18:55,8,Duitsland-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,4,Yours or mine,R. Bakker,2100,,3,,"1.18,0",,,"€ 65,00","2,7"
52816,"03-01-09, Wolvega",18:55,8,Duitsland-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,5,Travis Dragon,H. Hamming,2100,,6,,"1.18,7",,,"€ 40,00","4,4"
52815,"04-01-09, Alkmaar",13:00,KW,Kwalificatieproef,Voor paarden van 3 jaar en ouder. Afstand 2060 meter.,,,Drafsport - 2060 - Autostart,O,Zeroninenine,C.D. Imming,2060,1,,,"1.28,5",,,,
52815,"04-01-09, Alkmaar",13:00,KW,Kwalificatieproef,Voor paarden van 3 jaar en ouder. Afstand 2060 meter.,,,Drafsport - 2060 - Autostart,V,Waldteufel,M.A. Pools,2060,2,,,"1.22,3",,,,
52815,"04-01-09, Alkmaar",13:30,1,Gelukkig Nieuwjaar-prijs,Draverij van meet. Winsom tot € 600.,,,Drafsport - 2060 - Autostart,1,Wanda Flevo,R. van Toor,2060,,7,,"1.24,7",,,"€ 400,00","1,8"
52815,"04-01-09, Alkmaar",13:30,1,Gelukkig Nieuwjaar-prijs,Draverij van meet. Winsom tot € 600.,,,Drafsport - 2060 - Autostart,2,Whispering Life,J.T.S. Dekker,2060,,4,,"1.25,1",,,"€ 200,00",3
52815,"04-01-09, Alkmaar",13:30,1,Gelukkig Nieuwjaar-prijs,Draverij van meet. Winsom tot € 600.,,,Drafsport - 2060 - Autostart,3,Wily Shoeing,W.H.M. van der Mespel,2060,,6,,"1.25,1",,,"€ 95,00","6,8"
52815,"04-01-09, Alkmaar",13:30,1,Gelukkig Nieuwjaar-prijs,Draverij van meet. Winsom tot € 600.,,,Drafsport - 2060 - Autostart,4,Singing Star,A. Harzé,2060,,3,,"1.25,4",,,"€ 65,00","11,2"
52815,"04-01-09, Alkmaar",13:30,1,Gelukkig Nieuwjaar-prijs,Draverij van meet. Winsom tot € 600.,,,Drafsport - 2060 - Autostart,A,Damian Eden,A.H. Suijkerbuijk,2060,,5,,,,,"€ 0,00","5,8"
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,1,Warja Swagerman,F.W. van der Blonk,2060,,1,,"1.21,1",,,"€ 400,00","1,7"
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,2,Unnick H,R.L. Pools,2060,,3,,"1.21,7",,,"€ 200,00","11,2"
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,3,Vulcano Boshoeve,A.H. Suijkerbuijk,2060,,2,,"1.21,7",,,"€ 95,00","17,8"
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,4,Wishbonechaperal,C.D. Imming,2060,,7,,"1.21,8",,,"€ 65,00","11,3"
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,5,Luca Grolloo,T.H. Kooyman,2060,,6,,"1.22,4",,,"€ 40,00",5
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,A,Wynona Starlake,R. Kooyman,2060,,4,,,,,"€ 0,00","16,3"
52815,"04-01-09, Alkmaar",13:51,2,Bonne Année-prijs,Draverij van meet. Winsom tot € 2.000.,,,Drafsport - 2060 - Autostart,A,Qooper de Melleray,J.T.S. Dekker,2060,,5,,,,,"€ 0,00","5,4"
52815,"04-01-09, Alkmaar",14:12,3,Prosit Neujahr-prijs,Draverij van meet. Winsom tot € 3.000. Voor amatrices en amateurrijders.,,,Drafsport - 2060 - Autostart,1,Way Out,W.N. de Reus,2060,,2,,"1.22,9",,,"€ 400,00","2,9"
52815,"04-01-09, Alkmaar",14:12,3,Prosit Neujahr-prijs,Draverij van meet. Winsom tot € 3.000. Voor amatrices en amateurrijders.,,,Drafsport - 2060 - Autostart,2,Walkover,M.J. de Vente,2060,,6,,"1.23,2",,,"€ 200,00","7,6"
