event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
41634,"01-01-06, Wolvega",,1,-prijs,Draverij van meet. Winsom tot € 800.,,,Drafsport - 2100 - Autostart,,Super Bokma,R. Bakker,2100,1,,,,,,,
41634,"01-01-06, Wolvega",,1,-prijs,Draverij van meet. Winsom tot € 800.,,,Drafsport - 2100 - Autostart,,Trix Wielinga,Onbekende rijder,2100,2,,,,,,,
41634,"01-01-06, Wolvega",,1,-prijs,Draverij van meet. Winsom tot € 800.,,,Drafsport - 2100 - Autostart,,Ulrica Viola,M. Hauber,2100,3,,,,,,,
41634,"01-01-06, Wolvega",,1,-prijs,Draverij van meet. Winsom tot € 800.,,,Drafsport - 2100 - Autostart,,Upsala's Miracle,J.C. van der Hulst,2100,4,,,,,,,
41634,"01-01-06, Wolvega",,1,-prijs,Draverij van meet. Winsom tot € 800.,,,Drafsport - 2100 - Autostart,,Volemit d'Almere,Onbekende rijder,2100,5,,,,,,,
41634,"01-01-06, Wolvega",,2,-prijs,Draverij van meet. Winsom tot € 1.400.,,,Drafsport - 2100 - Autostart,,Nissetta,W.C. Steur,2100,1,,,,,,,
41634,"01-01-06, Wolvega",,2,-prijs,Draverij van meet. Winsom tot € 1.400.,,,Drafsport - 2100 - Autostart,,Tricky Rich,Onbekende rijder,2100,2,,,,,,,
41634,"01-01-06, Wolvega",,2,-prijs,Draverij van meet. Winsom tot € 1.400.,,,Drafsport - 2100 - Autostart,,Tamara Paaslo,R.L. Pools,2100,3,,,,,,,
41634,"01-01-06, Wolvega",,2,-prijs,Draverij van meet. Winsom tot € 1.400.,,,Drafsport - 2100 - Autostart,,Proudly SB,A. de Wrede,2100,4,,,,,,,
41634,"01-01-06, Wolvega",,3,-prijs,Draverij van meet. Winsom tot € 2.800. (g.l.s),,,Drafsport - 1609 - Autostart,,Terence Meadow,S. Schoonhoven,1609,1,,,,,,,
41634,"01-01-06, Wolvega",,3,-prijs,Draverij van meet. Winsom tot € 2.800. (g.l.s),,,Drafsport - 1609 - Autostart,,Simmer Wille DB,R. Kromkamp,1609,2,,,,,,,
41634,"01-01-06, Wolvega",,3,-prijs,Draverij van meet. Winsom tot € 2.800. (g.l.s),,,Drafsport - 1609 - Autostart,,Turn to Victory,P.F. Louwersheimer,1609,3,,,,,,,
41634,"01-01-06, Wolvega",,3,-prijs,Draverij van meet. Winsom tot € 2.800. (g.l.s),,,Drafsport - 1609 - Autostart,,Tobiasnora,R. Bakker,1609,4,,,,,,,
41634,"01-01-06, Wolvega",,3,-prijs,Draverij van meet. Winsom tot € 2.800. (g.l.s),,,Drafsport - 1609 - Autostart,,Soren Greenacre,T.S. Verhulst,1609,5,,,,,,,
41634,"01-01-06, Wolvega",,3,-prijs,Draverij van meet. Winsom tot € 2.800. (g.l.s),,,Drafsport - 1609 - Autostart,,Swinging Spirit,T.H. Kooyman,1609,6,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Seth,L. de Vries,2100,1,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Ultra Victory,Alwin Bakker,2100,2,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Teun Schermer,Onbekende rijder,2100,3,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Tytane Promise,T.H. Kooyman,2100,4,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Scarlett Nevele,R. Bakker,2100,5,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Terrific Score,G. de Jong,2100,6,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Romario,C.P.G. Wortel,2100,7,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Orient Hills,J.W.M. Engwerda,2100,8,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Toya Clover,Onbekende rijder,2100,9,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Splendid Cunera,P.L.E. Wortel,2100,10,,,,,,,
41634,"01-01-06, Wolvega",,4,-prijs,Draverij van meet. Winsom tot € 5.500.,,,Drafsport - 2100 - Autostart,,Syrene Promise,H. Crebas,2100,11,,,,,,,
