event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
23781,"01-01-00, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Oliza Hanover,H.W. Langeweg,2100,1,,,"1.23,6",,,,
23781,"01-01-00, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Nero van Exito,G.J. Olde Agterhuis,2100,2,,,"1.23,6",,,,
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,1,Jairzinho Lion,R.L. Pools,1609,,9,,"1.18,9",,,"€ 669,00","2,4"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,2,Krundy's First,J. Snoek,1609,,10,,"1.19,2",,,"€ 306,00","67,8"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,3,Mister Dakota,G. de Jong,1609,,7,,"1.19,2",,,"€ 147,00","4,5"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,4,Moon Star W,J.C. Bot,1609,,11,,"1.19,4",,,"€ 79,00","17,7"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,5,Micky Jeanet,T. Jonkman,1609,,1,,"1.19,4",,,"€ 45,00",64
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,6,No Secret Speed,J.F. van Dooyeweerd,1609,,5,,"1.19,4",,,"€ 0,00","6,4"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,7,Moosmagic S,R.J.T. Maring,1609,,8,,"1.19,6",,,"€ 0,00","4,5"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,8,Mandy Idraniem,S. Schoonhoven,1609,,3,,"1.19,9",,,"€ 0,00","88,7"
23781,"01-01-00, Wolvega",16:00,1,Gelukkig Nieuwjaar-prijs,"Draverij van meet. Winsom tot f 12.000    Dotering: f 3.025",,,Drafsport - 1609 - Autostart,9,Flying Icarus,J.P.M. Feijen,1609,,6,,"1.20,2",,,"€ 0,00","13,5"
