event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
49254,"05-01-08, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,O,Yves Boshoeve,H.J. Peters,2100,4,,,,,,,
49254,"05-01-08, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,O,Very Nice Photo,G. de Jong,2100,3,,,"1.24,2",,,,
49254,"05-01-08, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,O,Vivendi,R. Bakker,2100,1,,,,,,,
49254,"05-01-08, Wolvega",15:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Passing Renka,J.W.M. Engwerda,2100,6,,,"1.18,8",,,,
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,1,Sultan of Swing,H. Hamming,2100,,5,,"1.18,8",,,"€ 500,00","3,8"
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,2,Vito Corleone,S. Wagenaar,2100,,3,,"1.19,0",,,"€ 250,00","3,1"
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,3,Vanilla Ice,F.W. van der Blonk,2100,,2,,"1.19,3",,,"€ 120,00","8,3"
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,4,Twister Twiko,R.L. Pools,2100,,6,,"1.19,4",,,"€ 80,00","6,1"
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,5,Valentino Star N,C.F. Kamminga,2100,,1,,"1.19,5",,,"€ 50,00","5,3"
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,6,So What EK,C.D. Imming,2100,,4,,"1.20,6",,,"€ 0,00","28,9"
49254,"05-01-08, Wolvega",16:00,1,Een gezond en succesvol 2008-prijs (trio en kwartet),Draverij van meet. Winsom tot € 8.000.,,,Drafsport - 2100 - Autostart,7,Paul Account,H.W. Langeweg jr.,2100,,7,,"1.25,4",,,"€ 0,00","5,3"
49254,"05-01-08, Wolvega",16:25,2,Bezoekers-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,1,Velocity M,L.H. Dooper,2100,,3,,"1.19,5",,,"€ 500,00","8,7"
49254,"05-01-08, Wolvega",16:25,2,Bezoekers-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,2,Woody Boko,R. Bakker,2100,,4,,"1.19,6",,,"€ 250,00","2,4"
49254,"05-01-08, Wolvega",16:25,2,Bezoekers-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,3,Urban BN,C.F. Kamminga,2100,,5,,"1.19,9",,,"€ 120,00","7,7"
49254,"05-01-08, Wolvega",16:25,2,Bezoekers-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,4,Usigny Metjo,R.L. Pools,2100,,2,,"1.20,0",,,"€ 80,00","10,8"
49254,"05-01-08, Wolvega",16:25,2,Bezoekers-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,5,Vampire Twiko,K.L.C. Roeges,2100,,8,,"1.20,0",,,"€ 50,00","25,1"
49254,"05-01-08, Wolvega",16:25,2,Bezoekers-prijs (trio en kwartet),Draverij van meet. Winsom tot € 6.000.,,,Drafsport - 2100 - Autostart,6,Top Class Fortuna,S. Schoonhoven,2100,,7,,"1.20,8",,,"€ 0,00","11,2"
