event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
55788,"30-01-10, Wolvega",,1,,Draverij van meet. Winsom tot € 400.,,,Drafsport - 2100 - Autostart,,Young Mr Mo,A. de Wrede,2100,,,,,,,,
55788,"30-01-10, Wolvega",,3,,Draverij van meet. Winsom tot € 1.600.,,,Drafsport - 2100 - Autostart,,Zico Express,R.T. de Vlieger,2100,,,,,,,,
55788,"30-01-10, Wolvega",,3,,Draverij van meet. Winsom tot € 1.600.,,,Drafsport - 2100 - Autostart,,Wieteke,R. Wester,2100,,,,,,,,
55788,"30-01-10, Wolvega",,4,,Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,,Was Toxic,N. Jongejans,2100,,,,,,,,
55788,"30-01-10, Wolvega",,4,,Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,,Zazu Butcher,F.A. Westerveld,2100,,,,,,,,
55788,"30-01-10, Wolvega",,4,,Draverij van meet. Winsom tot € 3.000.,,,Drafsport - 2100 - Autostart,,Ytranssbelwin R,R.T. de Vlieger,2100,,,,,,,,
55788,"30-01-10, Wolvega",,5,,Draverij van meet. Winsom tot € 5.000. Voor amatrices en amateurrijders. (loting),,,Drafsport - 2100 - Autostart,,Cadillac As,J. Knoll,2100,,,,,,,,
55788,"30-01-10, Wolvega",,6,,Draverij van meet. Winsom tot € 8.000. (loting),,,Drafsport - 2100 - Autostart,,Zoon van Unia,J.F.C.M. van Koolwijk,2100,,,,,,,,
55788,"30-01-10, Wolvega",,6,,Draverij van meet. Winsom tot € 8.000. (loting),,,Drafsport - 2100 - Autostart,,Youri C,D. Minnema,2100,,,,,,,,
55788,"30-01-10, Wolvega",,7,,Prijzendraverij. Winsom vanaf € 4.000 tot € 10.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,,Vigo Ricardo,S.K. de Glee,2100,,,,,,,,
