event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,1,Kongo Flevo,P.G.G. Van Pollaert,2300,,9,,"1.16,6",,,"€ 1.000,00","4,2"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,2,Helsinki Newport TF,M.F. Rothengatter,2300,,7,,"1.16,7",,,"€ 400,00","20,9"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,3,Luciano Lobell,H. Ebbinge,2300,,2,,"1.16,7",,,"€ 200,00","1,4"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,4,Kommaar Well,J. Westenbrink,2300,,11,,"1.17,1",,,"€ 150,00","10,9"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,5,Gweltas de Millac,S. Van Impe,2300,,12,,"1.17,5",,,"€ 120,00","55,2"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,6,Limala Takoda,K. Poels,2300,,8,,"1.17,6",,,"€ 80,00","99,9"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,7,Heaven de Nappes,N. D' Haenens,2300,,5,,"1.17,9",,,"€ 50,00","99,9"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,8,Nikita Hollandia,H. Huygens,2300,,13,,"1.17,9",,,"€ 0,00","86,1"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,9,Goliath Juth,L. Roelens,2300,,4,,"1.18,5",,,"€ 0,00","83,6"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,A,Golden Cross,J. van Rijn,2300,,14,,,,,"€ 0,00","29,8"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,A,Jolly Jumper,L. Cannaert,2300,,6,,,,,"€ 0,00","99,9"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,A,Handial des Cinty,F. Sap,2300,,3,,,,,"€ 0,00","99,9"
98000,"08-01-21, Wolvega",16:50,1,PRIX WOLVEGA LIVE! (MERWESTAAL TALENT CHALLENGE),Draverij van meet. Winsom tot € 1.000. (g.l.s.),,,Drafsport - 2300 - Autostart,A,Garlin,G. Lermusiaux,2300,,10,,,,,"€ 0,00","99,9"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,1,Iris de l'Iton,T.H. Kooyman,2300,,5,,"1.13,9",,,"€ 2.250,00","8,6"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,2,Ahura Mazda Font,H. Ebbinge,2300,,7,,"1.13,9",,,"€ 1.000,00","1,2"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,3,Lambada Zon,P. de Haan,2300,,3,,"1.14,1",,,"€ 750,00","16,3"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,4,Indy Lady,R. Wester,2300,,1,,"1.14,1",,,"€ 450,00","12,4"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,5,Ebba Lotta,H. De Ridder,2300,,8,,"1.15,3",,,"€ 300,00","76,9"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,6,Forever du Rib,P. Dhaese,2300,,4,,"1.16,5",,,"€ 150,00","64,3"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,7,Doc Holiday,J.V.M.G. Verbeeck,2300,,2,,"1.17,0",,,"€ 100,00","28,5"
98000,"08-01-21, Wolvega",17:20,2,TJAARDA WINTER CUP (BOKO CHAMPIONS CHALLENGE),"Draverij van meet. Winsom tot € 30.000. Open voor paarden tot € 50.000, die in de laatste 5 starts niet hebben gewonnen.",,,Drafsport - 2300 - Autostart,U,Graham Convital,D.P. Tesselaar,2300,,6,,,,,"€ 0,00",32
98000,"08-01-21, Wolvega",17:55,3,PRIX RIK DEPUYDT (TROTTEUR FRANCAIS GOLDEN CHALLENGE),Prijzendraverij voor Franse paarden. Winsom tot € 100.000. (g.l.s.),,,Drafsport - 2840 - Bandenstart,1,Good Morning Elge,H. Ebbinge,2840,,2,,"1.16,1",,,"€ 2.250,00","2,2"
98000,"08-01-21, Wolvega",17:55,3,PRIX RIK DEPUYDT (TROTTEUR FRANCAIS GOLDEN CHALLENGE),Prijzendraverij voor Franse paarden. Winsom tot € 100.000. (g.l.s.),,,Drafsport - 2840 - Bandenstart,2,Duc de Tyrole,K. Depuydt,2840,,5,,"1.16,4",,,"€ 1.000,00",4
98000,"08-01-21, Wolvega",17:55,3,PRIX RIK DEPUYDT (TROTTEUR FRANCAIS GOLDEN CHALLENGE),Prijzendraverij voor Franse paarden. Winsom tot € 100.000. (g.l.s.),,,Drafsport - 2840 - Bandenstart,3,Darius du Loir,M. Moes,2840,,3,,"1.16,6",,,"€ 750,00","69,2"
