event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
61499,"06-01-12, Wolvega",16:20,KW,Kwalificatieproef Draf,,,,Drafsport - 2100 - Autostart,V,Unearthed,A.J. Mollema,2100,4,,,"1.21,3",,,,
61499,"06-01-12, Wolvega",16:20,KW,Kwalificatieproef Draf,,,,Drafsport - 2100 - Autostart,V,Arie Boko,F.A. Westerveld,2100,6,,,"1.21,0",,,,
61499,"06-01-12, Wolvega",16:20,KW,Kwalificatieproef Draf,,,,Drafsport - 2100 - Autostart,V,Bep Swagerman,F.W. van der Blonk,2100,3,,,"1.22,4",,,,
61499,"06-01-12, Wolvega",16:20,KW,Kwalificatieproef Draf,,,,Drafsport - 2100 - Autostart,V,Borka Ling,P.L.E. Wortel,2100,1,,,"1.22,6",,,,
61499,"06-01-12, Wolvega",16:20,KW,Kwalificatieproef Draf,,,,Drafsport - 2100 - Autostart,V,Apollo Charisma,B.J. Crebas,2100,5,,,"1.21,2",,,,
61499,"06-01-12, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Zaido Dragon,M.M. Schmid,2100,1,,,"1.16,5",,,,
61499,"06-01-12, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Trendy Kemp,W.H.M. van der Mespel,2100,2,,,"1.20,1",,,,
61499,"06-01-12, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Awtuckee River,J.F. van Dooyeweerd,2100,4,,,"1.16,2",,,,
61499,"06-01-12, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Zarina Cunera,R.L. Pools,2100,3,,,"1.16,2",,,,
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,1,Yos JE,E. Kruis,2140,,12,,"1.15,6",,,"€ 3.000,00","8,9"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,2,Candles N Caviar,K.L.C. Roeges,2100,,4,,"1.17,1",,,"€ 1.300,00","23,9"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,3,York Baldwin,J. de Leeuw,2120,,10,,"1.16,4",,,"€ 750,00","3,2"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,4,Alert Oldeson,A. Bakker,2100,,2,,"1.17,2",,,"€ 350,00","11,3"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,5,Vito Corleone,H.P. Sinnige,2100,,8,,"1.17,4",,,"€ 250,00","44,8"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,6,Wanda W,J. Westenbrink,2120,,9,,"1.16,7",,,"€ 200,00","53,4"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,7,Sterre Kesbo,W.H.M. van der Mespel,2140,,11,,"1.16,0",,,"€ 150,00","63,2"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,8,Whisper As,R.L. Pools,2100,,6,,"1.17,6",,,"€ 0,00","26,7"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,9,Paycheck,B. Goop,2100,,5,,"1.19,5",,,"€ 0,00","14,1"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,A,Quatuor du Bouffey,S. Schoonhoven,2140,,13,,,,,"€ 0,00","11,9"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,A,Warrior Boko,H.W. Schoonhoven,2140,,14,,,,,"€ 0,00","38,6"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,A,Alonso Meadow,T.H. Kooyman,2100,,3,,,,,"€ 0,00","3,4"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,A,Ziezo Buitenzorg,D.P. Tesselaar,2100,,1,,,,,"€ 0,00","8,3"
61499,"06-01-12, Wolvega",17:10,1,Winterkampioenschap van Friesland (Faber Elite Challenge),Prijzendraverij. Winsom vanaf € 15.000 tot € 75.000. (g.l.s.),,,Drafsport - 2100 - Bandenstart,U,Whiz Past,R. Bakker,2100,,7,,,,,"€ 0,00","30,2"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,1,Ysvogel,M.M. Schmid,2100,,11,,"1.15,8",,,"€ 3.000,00","12,1"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,2,Zahier Charisma,B.J. Crebas,2100,,7,,"1.15,9",,,"€ 1.300,00","12,8"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,3,Avenir C,B. Goop,2100,,5,,"1.16,1",,,"€ 750,00","5,3"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,4,Zeb Dalimo,W.H.M. van der Mespel,2100,,3,,"1.16,4",,,"€ 350,00","15,2"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,5,Zandbergen Zelf,J. de Leeuw,2100,,8,,"1.16,5",,,"€ 250,00","8,4"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,6,Youthful Hanover,J.T. de Jong,2100,,13,,"1.16,7",,,"€ 200,00","99,9"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,7,Zuhalter,R. Bakker,2100,,15,,"1.16,8",,,"€ 150,00","14,9"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,8,Warango Meadow,L.H. Dooper,2100,,12,,"1.17,0",,,"€ 0,00","99,9"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,9,Another Wish,P. van Ooijen,2100,,1,,"1.17,2",,,"€ 0,00","91,5"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,10,Deja Vu,C.H. Loman,2100,,6,,"1.17,3",,,"€ 0,00","43,3"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,11,Naomi di Quattro,F.W. van der Blonk,2100,,2,,"1.17,5",,,"€ 0,00","10,2"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,12,Zepia Melon,D.P. Tesselaar,2100,,10,,"1.17,6",,,"€ 0,00","48,1"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,13,Wiske Rider,R.J.T. Maring,2100,,4,,"1.17,7",,,"€ 0,00","63,3"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,14,Amazing Power,S. Stevens,2100,,9,,"1.17,9",,,"€ 0,00","99,9"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,A,Yale,R.L. Pools,2100,,14,,,,,"€ 0,00","15,2"
61499,"06-01-12, Wolvega",17:40,2,Prix Bjorn Goop,Draverij van meet. Winsom tot € 11.000. (g.l.s.),,,Drafsport - 2100 - Autostart,D,Amigo Butcher,R.T. de Vlieger,2100,,16,,"1.23,4",,,"€ 0,00","2,4"
