event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
58142,"07-01-11, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,O,Zion Atwood,J.W.M. Engwerda,2100,1,,,,,,,
58142,"07-01-11, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Alfons Migliore,R. Wester,2100,2,,,"1.21,1",,,,
58142,"07-01-11, Wolvega",16:30,KW,Kwalificatieproef,,,,Drafsport - 2100 - Autostart,V,Tennessie Forest,C.D. Aalbers,2100,3,,,"1.19,5",,,,
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,1,Zico Newport,R. Bakker,2100,,2,,"1.19,8",,,"€ 2.500,00","2,7"
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,2,Zandvoort Sea,R.L. Pools,2100,,14,,"1.20,2",,,"€ 1.100,00","53,7"
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,3,Shantina Noa,J.H.M. van der Pijl,2100,,13,,"1.20,2",,,"€ 650,00","11,1"
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,4,Ysee Himya,B.J. Crebas,2100,,16,,"1.20,4",,,"€ 300,00","22,3"
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,5,A way of life,A. Bakker,2100,,8,,"1.20,4",,,"€ 200,00","11,4"
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,6,Aphrodite,S. Schoonhoven,2100,,3,,"1.20,9",,,"€ 150,00","99,9"
58142,"07-01-11, Wolvega",17:00,1,Prix Equidia-Victoria Park,Draverij van meet. Winsom tot € 3.000. (g.l.s.),,,Drafsport - 2100 - Autostart,7,Astreos,A.J. Mollema,2100,,5,,"1.21,0",,,"€ 100,00","16,7"
